label,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
not fallen,0.50011235,0.39054137,0.5064915,0.3763683,0.49002957,0.37739137,0.5166138,0.3800514,0.47639474,0.38327196,0.53946877,0.46504328,0.44988847,0.47004947,0.543962,0.56592345,0.45715994,0.58159447,0.53641737,0.64304024,0.48922065,0.6506705,0.5297338,0.6383011,0.47285056,0.64668685,0.58409035,0.71221405,0.51050436,0.72878945,0.5385628,0.84619415,0.5394227,0.8676367
not fallen,0.41363657,0.13239378,0.0,0.0,0.39266843,0.12140424,0.0,0.0,0.31344664,0.14258315,0.36307862,0.22247759,0.34880298,0.21998128,0.4388879,0.2715324,0.53157586,0.22027588,0.51528865,0.20467214,0.69124717,0.14244995,0.41347826,0.46718165,0.37407577,0.46534222,0.40190697,0.6681064,0.2807282,0.6694255,0.3257858,0.8752677,0.11288818,0.86355245
not fallen,0.92877334,0.3113615,0.9318752,0.30255228,0.9195137,0.30363432,0.0,0.0,0.89914364,0.3069,0.91425866,0.3481618,0.8815282,0.34995523,0.0,0.0,0.91370946,0.40922585,0.0,0.0,0.9675571,0.4348819,0.88729537,0.45232543,0.86476004,0.46091175,0.96819896,0.4858347,0.9545472,0.5028675,0.9828661,0.59641355,0.985846,0.6218557
fall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90064794,0.45933518,0.88526624,0.3173207,0.8325079,0.5556952,0.81124735,0.30220398,0.73016644,0.5175726,0.7247495,0.3519314,0.7808084,0.47779283,0.77980965,0.38999555,0.6337664,0.5017381,0.65723413,0.38005224,0.63211244,0.49972707,0.6584442,0.42056513
not fallen,0.23763587,0.35891613,0.2416564,0.3471277,0.0,0.0,0.28169036,0.34400144,0.0,0.0,0.31563142,0.41246337,0.34848627,0.39581162,0.28180376,0.51992744,0.0,0.0,0.2307881,0.59390223,0.25051048,0.577535,0.3236272,0.587249,0.34210306,0.57379466,0.33115,0.7127285,0.2885622,0.689662,0.3381129,0.84099084,0.25925604,0.8071588
not fallen,0.36724126,0.38015333,0.0,0.0,0.34827515,0.37819773,0.0,0.0,0.31653228,0.41845632,0.39092612,0.4919815,0.30313295,0.51934934,0.0,0.0,0.25111642,0.43618384,0.0,0.0,0.2379729,0.37767577,0.53683865,0.67356646,0.4866834,0.73235756,0.65051365,0.5400057,0.604442,0.70139855,0.6804146,0.6828601,0.68883336,0.8513401
not fallen,0.4836626,0.40729648,0.49526912,0.39456838,0.47539806,0.39212403,0.5090637,0.38766834,0.4589203,0.38082203,0.53555167,0.44646117,0.42475453,0.43957576,0.5512082,0.5436596,0.40774614,0.5388953,0.5152624,0.56811905,0.43659145,0.5588462,0.51355743,0.5861003,0.4406602,0.5813429,0.52863413,0.59314626,0.4152628,0.58536935,0.47916046,0.7714042,0.40427238,0.77271825
fall,0.71999705,0.5826907,0.0,0.0,0.72487754,0.5591535,0.0,0.0,0.6956606,0.5119982,0.6661591,0.588559,0.5659234,0.47693488,0.0,0.0,0.38846877,0.44329715,0.764106,0.6449193,0.45703554,0.65122986,0.32615998,0.46625748,0.28119484,0.40669623,0.1956696,0.30963463,0.16130812,0.29782215,0.14234896,0.17967792,0.11827717,0.21515428
fall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26277438,0.9533164,0.2858136,0.8702585,0.27777648,1.0,0.27794132,0.8831088,0.23801318,0.97059554,0.23435116,0.9582012,0.44462928,0.94193965,0.46449122,0.91326445,0.5233695,0.97724867,0.5286193,0.90471935,0.0,0.0,0.0,0.0
fall,0.37096792,0.56307495,0.37945923,0.55250525,0.0,0.0,0.41109735,0.5400581,0.0,0.0,0.4497667,0.5783182,0.41174325,0.54320514,0.40739223,0.7542414,0.38798568,0.67386717,0.35263392,0.90117353,0.35383555,0.8039822,0.5806117,0.6488967,0.5509441,0.6330687,0.4771261,0.74751043,0.43335858,0.707678,0.58716005,0.8155288,0.5277675,0.77704114
not fallen,0.18122521,0.23190208,0.18572132,0.21398392,0.15956,0.21539898,0.0,0.0,0.10382116,0.23464255,0.19090855,0.3259817,0.0965501,0.3516409,0.2616547,0.4241886,0.19746523,0.4654749,0.30178595,0.4068248,0.29137838,0.3808789,0.20195882,0.6377377,0.12245748,0.6514638,0.23252676,0.8863463,0.11562782,0.905353,0.0,0.0,0.0,0.0
not fallen,0.49541655,0.16826728,0.5199166,0.15268579,0.47388703,0.1504196,0.55338186,0.17036532,0.44014192,0.16508158,0.5886547,0.27151394,0.39574882,0.26434067,0.63521665,0.39449295,0.34047967,0.37732694,0.67516994,0.48833585,0.31231213,0.48578745,0.5530295,0.5023164,0.43020496,0.500812,0.56350344,0.68064547,0.4280056,0.68229705,0.536322,0.8531459,0.46510264,0.86047286
not fallen,0.5253066,0.3266392,0.54007596,0.29861063,0.50919884,0.28996077,0.5943873,0.25288236,0.50226766,0.24785145,0.7136079,0.34715232,0.45770672,0.34648618,0.71226144,0.627299,0.4485309,0.6138841,0.6217191,0.71502775,0.40243956,0.8059236,0.6798509,0.71400577,0.51320493,0.69230044,0.69407415,0.780517,0.42385566,0.73972386,0.53557247,0.8367904,0.58680564,0.8529146
not fallen,0.0,0.0,0.0,0.0,0.0,0.0,0.6929936,0.25098902,0.0,0.0,0.74882346,0.29406306,0.68873614,0.298223,0.6509037,0.37835708,0.5749879,0.32575667,0.5451738,0.40603897,0.39158213,0.31164023,0.7570313,0.5452267,0.6987528,0.5271214,0.57178825,0.6362314,0.47201133,0.6122052,0.700181,0.7987299,0.57988924,0.77125114
not fallen,0.93011016,0.3008077,0.92991066,0.2922624,0.9226641,0.29193112,0.0,0.0,0.8993892,0.29923302,0.90347797,0.34733278,0.88525736,0.3460552,0.91934264,0.422509,0.92103684,0.41671574,0.95269054,0.4586551,0.9772007,0.44621316,0.8809244,0.459586,0.8671735,0.4652956,0.96252596,0.49349946,0.95111674,0.49550983,0.9738731,0.61004335,0.9704277,0.6130628
fall,0.49172258,0.5669428,0.50356185,0.55575794,0.4845923,0.55223644,0.5192359,0.54505044,0.47070065,0.5347646,0.5318551,0.5675771,0.44492698,0.55053824,0.5459759,0.66257775,0.4173511,0.63692623,0.54892707,0.7479622,0.47011182,0.69004285,0.5026212,0.6143121,0.44005704,0.6047684,0.51665634,0.69268537,0.38675314,0.6842873,0.0,0.0,0.0,0.0
fall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21301694,0.2861501,0.29438728,0.21405298,0.1607809,0.38126865,0.3462997,0.13635784,0.09772332,0.3145534,0.24701944,0.09357127,0.43953863,0.40329444,0.44722298,0.37072286,0.4220996,0.6141038,0.2435032,0.55160385,0.5922524,0.70830804,0.19405994,0.66383624
not fallen,0.6504903,0.44066945,0.6588783,0.428442,0.0,0.0,0.6969243,0.42771202,0.0,0.0,0.7347943,0.50977725,0.6844896,0.49267086,0.75496083,0.64733773,0.68783516,0.6008622,0.75409746,0.76048476,0.66245586,0.6747343,0.7163219,0.7278824,0.6849829,0.7175142,0.72396916,0.8742439,0.685554,0.85847694,0.7305771,0.99073696,0.7015311,0.9753594
not fallen,0.44354162,0.5040977,0.440232,0.48872885,0.42320853,0.4925339,0.0,0.0,0.3679187,0.5022416,0.44709912,0.5420756,0.35183617,0.55859774,0.51546377,0.59915376,0.3699334,0.6394788,0.5646595,0.6040124,0.509624,0.62624276,0.5603663,0.6782541,0.50157183,0.70783,0.7390668,0.6797714,0.7429164,0.66728306,0.7824963,0.82444066,0.89722174,0.80169564
not fallen,0.7835254,0.3997015,0.78193223,0.39174053,0.77716297,0.3907793,0.0,0.0,0.74711865,0.39160296,0.76599544,0.4237477,0.75720423,0.4305709,0.0,0.0,0.8168457,0.45345998,0.0,0.0,0.84637785,0.43982106,0.84851456,0.49465987,0.8368726,0.50823355,0.95755255,0.49567625,0.9259588,0.5027373,0.0,0.0,0.9325468,0.5768839
not fallen,0.6532098,0.14559133,0.6722596,0.12801066,0.63589203,0.124910355,0.6948524,0.14121714,0.60329574,0.13353358,0.7326441,0.25564367,0.57194096,0.24679466,0.75753826,0.4097479,0.5519685,0.3889337,0.67414105,0.45701623,0.5732398,0.45518756,0.71968305,0.52329254,0.60456604,0.5194401,0.73393446,0.72632724,0.60215724,0.71502745,0.0,0.0,0.0,0.0
not fallen,0.504389,0.29502854,0.5145823,0.28158206,0.4921697,0.28265828,0.5242912,0.28554603,0.47084412,0.28692493,0.54318047,0.36784524,0.44898316,0.36869168,0.56232834,0.48670265,0.44278893,0.48929664,0.5680238,0.58837765,0.44722533,0.59848404,0.5326875,0.5915626,0.469126,0.59186953,0.5247469,0.7551077,0.45650148,0.7588137,0.52108854,0.9033964,0.44766727,0.9111692
not fallen,0.0,0.0,0.15472132,0.36285302,0.0,0.0,0.1629039,0.3651774,0.0,0.0,0.17411998,0.3966487,0.17004347,0.3948371,0.17822425,0.4458486,0.0,0.0,0.18022956,0.48588067,0.0,0.0,0.1694549,0.48232055,0.16843152,0.48114014,0.16996518,0.5502663,0.16866606,0.5490118,0.17370741,0.6178097,0.17152147,0.61472183
fall,0.51038456,0.6556972,0.51871866,0.6646999,0.51991236,0.65340006,0.0,0.0,0.5268974,0.6212133,0.5433727,0.5669435,0.45190516,0.5755517,0.6109551,0.49720144,0.32007667,0.61817807,0.6641369,0.4691699,0.34597418,0.7030817,0.33371302,0.41734257,0.29858336,0.40838328,0.24216314,0.39327896,0.23240495,0.37844077,0.15866767,0.28703552,0.14637215,0.31336877
fall,0.70601636,0.68727547,0.72332233,0.6744432,0.7030883,0.6743479,0.7827961,0.6472835,0.0,0.0,0.82633823,0.5302633,0.67277986,0.5810458,0.87941736,0.42836925,0.5616055,0.7096025,0.9570433,0.23036323,0.4768775,0.8627655,0.6390672,0.2840446,0.5583048,0.28659794,0.5287861,0.25009465,0.43545333,0.23607717,0.42952734,0.13245025,0.4330394,0.13861528
fall,0.49812326,0.6478197,0.50833005,0.6330677,0.4887329,0.63391614,0.53091043,0.6107924,0.47512695,0.613092,0.5622859,0.6294855,0.46058455,0.6372028,0.60566187,0.72691417,0.42199633,0.7375542,0.6184836,0.84525424,0.41281906,0.8578488,0.56031644,0.70854026,0.49514934,0.7135201,0.5643222,0.8503868,0.49731216,0.8493483,0.5542801,0.803441,0.5069887,0.8021773
not fallen,0.36095405,0.1685667,0.37326765,0.15919875,0.35209814,0.15684108,0.3873771,0.17002277,0.34058997,0.16349554,0.40038648,0.24147625,0.31123814,0.22916229,0.41534305,0.31314167,0.255097,0.27372858,0.47203746,0.2891039,0.18779562,0.26018706,0.37330994,0.43121997,0.3201376,0.42664534,0.36518875,0.5760998,0.32379454,0.57518333,0.33924207,0.7333724,0.33946434,0.73793614
not fallen,0.55480444,0.31840587,0.5635277,0.29060617,0.53337973,0.3028727,0.0,0.0,0.0,0.0,0.7473532,0.3234951,0.54198045,0.31152508,0.77052194,0.5288574,0.44783774,0.4035842,0.755991,0.5275492,0.4594724,0.48388168,0.74548197,0.6334897,0.6053249,0.6213351,0.71643203,0.6589025,0.48396227,0.70369256,0.5386576,0.8613082,0.27949187,0.90909165
not fallen,0.55318815,0.33786157,0.5790831,0.31908607,0.54707867,0.31055617,0.62138176,0.3506471,0.0,0.0,0.6527275,0.47775435,0.537436,0.4775538,0.7807861,0.5613935,0.49621928,0.523385,0.9060486,0.6115508,0.4242936,0.5120567,0.50088865,0.8129494,0.43680263,0.78655905,0.28271818,0.67881703,0.2587403,0.72616035,0.12903678,0.7784267,0.13485555,0.8903559
not fallen,0.36755702,0.35726938,0.3669816,0.342374,0.346761,0.34761792,0.0,0.0,0.30937952,0.37448394,0.3663031,0.4534153,0.2901292,0.45478135,0.37485313,0.58919317,0.33038664,0.5990421,0.3712062,0.48596954,0.3731454,0.47542533,0.32382777,0.61191666,0.27028775,0.61515725,0.3839958,0.65785897,0.32561237,0.66263,0.36859855,0.8951231,0.33130285,0.8920283
fall,0.35328314,0.3091049,0.36161757,0.26117322,0.32857096,0.2931056,0.3883053,0.19190119,0.29030758,0.266843,0.4960937,0.22564933,0.2869052,0.37636873,0.6531033,0.2825733,0.29658118,0.6185136,0.56491643,0.4258671,0.2719112,0.8258266,0.60952854,0.5311928,0.46630293,0.5955114,0.6680099,0.79791516,0.4426455,0.84737337,0.0,0.0,0.5668395,0.69084716
not fallen,0.34671223,0.44018427,0.0,0.0,0.339125,0.427265,0.0,0.0,0.30371758,0.42739588,0.3186297,0.4973422,0.26716,0.51048243,0.31855828,0.59461355,0.2484891,0.6461699,0.33663625,0.66239154,0.2441844,0.75297076,0.32086512,0.7203314,0.28715307,0.7290197,0.31505284,0.8575606,0.2704612,0.87643075,0.29713076,0.9765905,0.26902673,0.99168396
fall,0.361641,0.39000472,0.35328236,0.38426274,0.34548455,0.39476797,0.0,0.0,0.32560292,0.44620582,0.37612817,0.45153666,0.37112543,0.4986714,0.40518597,0.29994538,0.38421568,0.31296927,0.39386937,0.20200247,0.39800388,0.19351807,0.56140304,0.5609956,0.5569929,0.6070209,0.59917086,0.30005574,0.61848265,0.3937708,0.6763937,0.41459227,0.7083997,0.5183026
fall,0.32405683,0.65484446,0.31705353,0.65418094,0.3225656,0.65179014,0.3189561,0.656499,0.0,0.0,0.4031805,0.69016445,0.38454732,0.6128869,0.46766338,0.7422313,0.45175943,0.5472362,0.413084,0.73844826,0.4880325,0.5012048,0.54032165,0.6363765,0.52829903,0.6016311,0.5492614,0.51756936,0.5297085,0.45938107,0.598571,0.5188899,0.6199669,0.4642298
not fallen,0.6507934,0.4407021,0.6588542,0.4290404,0.0,0.0,0.6965277,0.42897612,0.0,0.0,0.7334835,0.5089739,0.6850867,0.49159074,0.75404686,0.64277,0.0,0.0,0.75447696,0.75884473,0.0,0.0,0.7141785,0.72618365,0.6836357,0.7158495,0.72351545,0.8725198,0.685673,0.8576291,0.7289101,0.99118274,0.0,0.0
not fallen,0.5154952,0.2645856,0.5513447,0.21988551,0.5001114,0.19886906,0.6426848,0.19768201,0.0,0.0,0.7268821,0.39886087,0.4793159,0.33939046,0.6822064,0.77395755,0.41050678,0.63707125,0.44848755,0.80105686,0.361034,0.7474428,0.64874375,0.86812365,0.46975607,0.7960976,0.52552,0.9287757,0.21952389,0.83381796,0.0,0.0,0.0,0.0
not fallen,0.77737236,0.33902913,0.79084295,0.32182074,0.7765417,0.32412973,0.83720857,0.3224318,0.0,0.0,0.8707575,0.41075325,0.816215,0.4064656,0.82524174,0.5464679,0.7641229,0.5175341,0.70682806,0.5901596,0.6900045,0.56806016,0.821314,0.6243243,0.78610796,0.6017682,0.6505257,0.6602458,0.6380939,0.6266904,0.6683765,0.8629975,0.66255265,0.82178307
not fallen,0.2389216,0.3718787,0.0,0.0,0.2328161,0.3419264,0.0,0.0,0.17402367,0.3495453,0.08517189,0.45305377,0.16538073,0.5654155,0.21212514,0.5161881,0.30713883,0.80621386,0.3026045,0.5293647,0.31667525,0.641297,0.23708795,0.7908617,0.29823288,0.8581252,0.40185744,0.59585685,0.487915,0.6163407,0.47065473,0.7667923,0.54088014,0.81966573
not fallen,0.31001374,0.43044314,0.30844736,0.40790206,0.29212293,0.42686456,0.0,0.0,0.26584628,0.45024338,0.35343817,0.48664606,0.24758099,0.5316817,0.4087778,0.50842166,0.23211367,0.63579077,0.45436898,0.51211286,0.21300383,0.5328693,0.36978996,0.66423285,0.29215112,0.6824272,0.45475313,0.69775355,0.26697445,0.6749438,0.5038544,0.873624,0.3485647,0.7816548
not fallen,0.3182594,0.3728808,0.33360097,0.3521861,0.30299017,0.35326767,0.36087394,0.35072023,0.28605685,0.35179955,0.4149746,0.42130834,0.23390916,0.416052,0.46299705,0.42729178,0.1637312,0.4346101,0.3652836,0.40968058,0.24236226,0.41187212,0.3803548,0.663975,0.26209947,0.6599336,0.4120772,0.47050485,0.21834257,0.47024703,0.36935312,0.7607592,0.25571638,0.7606447
fall,0.6513206,0.47134218,0.0,0.0,0.6679741,0.4550465,0.0,0.0,0.68876255,0.41215205,0.683298,0.41988656,0.6704975,0.36948356,0.59483725,0.47853142,0.5756999,0.41164777,0.6033561,0.54171634,0.6094181,0.54232407,0.5579309,0.29436386,0.554849,0.24792074,0.42787275,0.34671336,0.4317319,0.2790423,0.24536838,0.24226211,0.23537396,0.24788556
not fallen,0.39408493,0.296849,0.0,0.0,0.38545582,0.29060128,0.0,0.0,0.35994974,0.3203791,0.3330185,0.3790001,0.38641363,0.38880682,0.40019274,0.3651958,0.5098471,0.36631593,0.4631568,0.30415207,0.61927235,0.3205088,0.34070966,0.567733,0.37806156,0.57363236,0.3005564,0.71315575,0.40319535,0.7351012,0.26755664,0.86055225,0.3949277,0.89099234
fall,0.28480408,0.5029802,0.30497718,0.46682557,0.0,0.0,0.39163682,0.40037027,0.0,0.0,0.5653102,0.39676616,0.30452654,0.31803653,0.56158847,0.7680967,0.12970749,0.52963585,0.34668514,0.7501092,0.27190152,0.67992187,0.81861687,0.25621414,0.6648625,0.23787151,0.71499634,0.30534133,0.6894557,0.27774167,0.0,0.0,0.0,0.0
fall,0.41940433,0.70972556,0.4200593,0.6825655,0.40035897,0.7043334,0.0,0.0,0.35862395,0.6964372,0.4462348,0.6795993,0.3295343,0.72712934,0.4847797,0.8078375,0.3063144,0.8376641,0.45424232,0.9478137,0.36474127,0.9289279,0.48621327,0.80048263,0.39883524,0.8406322,0.5831547,0.84381664,0.3999618,0.93804044,0.6522726,0.8208801,0.444509,0.8502684
fall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31219894,0.17643537,0.2600304,0.19180577,0.35145572,0.18693525,0.27157927,0.20667347,0.33611494,0.15110019,0.3056557,0.16171286,0.3856949,0.24664626,0.3504276,0.26541093,0.5277976,0.23580675,0.5060888,0.2615759,0.62490577,0.29243258,0.6219258,0.31991035
fall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55730957,0.89495087,0.61678976,0.76110536,0.6174912,0.72910494,0.687674,0.84947973,0.6877754,0.83746713
fall,0.0,0.0,0.0,0.0,0.0,0.0,0.46321112,0.359717,0.0,0.0,0.5833152,0.44579968,0.45709684,0.47221535,0.6317151,0.63322735,0.4455823,0.66383535,0.6211432,0.8054133,0.4171391,0.8000277,0.57315,0.78042424,0.49127558,0.7776579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fall,0.27757663,0.59279495,0.27415112,0.54900753,0.24722849,0.5860716,0.32228538,0.4857966,0.0,0.0,0.45832998,0.44041044,0.33617404,0.539717,0.6110799,0.45663992,0.28659686,0.54126275,0.5348987,0.6564738,0.18614487,0.6125312,0.70998055,0.3495436,0.64451075,0.4088299,0.842443,0.29064348,0.0,0.0,0.0,0.0,0.0,0.0
fall,0.5068241,0.29607216,0.50628775,0.27502254,0.0,0.0,0.52763736,0.23283173,0.0,0.0,0.6080194,0.24680011,0.54689443,0.2229083,0.6477065,0.45235813,0.5782191,0.35352215,0.6187282,0.60572284,0.52875805,0.34369504,0.75147957,0.30676115,0.70376813,0.29192972,0.7131315,0.556827,0.6268496,0.47828504,0.75934404,0.8076598,0.67412275,0.67279536
fall,0.3636043,0.33446208,0.0,0.0,0.3575653,0.31185406,0.0,0.0,0.32728818,0.2856706,0.28389326,0.28485802,0.26996773,0.32041493,0.27785435,0.41234374,0.3242203,0.55064154,0.31927055,0.48304346,0.39465967,0.68991643,0.13610101,0.38837254,0.117261045,0.41375667,0.27978608,0.47411552,0.2364723,0.5541965,0.26401493,0.7172438,0.20147851,0.8257408
fall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36257717,0.6807491,0.39260808,0.71061313,0.33197165,0.5478072,0.413429,0.67103463,0.33424827,0.5241387,0.4476157,0.704671,0.40016124,0.53413194,0.4213481,0.55845684,0.47039375,0.37917528,0.47115538,0.39626923,0.4922409,0.2788941,0.4969011,0.27752218
fall,0.7644451,0.43386686,0.77653515,0.4554185,0.8009678,0.4339191,0.77654046,0.5492535,0.0,0.0,0.6872921,0.6037641,0.7795775,0.5166119,0.64363366,0.568256,0.70442724,0.4178212,0.6556556,0.38414785,0.6694354,0.36806458,0.40367967,0.55159307,0.46589047,0.48076555,0.2491177,0.25045818,0.3218362,0.20719194,0.19153285,0.4301342,0.19453053,0.4203894
fall,0.3199779,0.32516032,0.31631568,0.2975177,0.30382368,0.32763505,0.32632095,0.2662918,0.0,0.0,0.38285133,0.27478355,0.3090044,0.38802752,0.48263732,0.2788232,0.30274618,0.4646015,0.5234486,0.36214384,0.2895956,0.54484135,0.5195357,0.4144994,0.46959394,0.48863018,0.6380642,0.4798771,0.5596512,0.5826328,0.75657487,0.5363838,0.667919,0.58886135
fall,0.2931877,0.59203476,0.27791008,0.57752603,0.28336492,0.60788894,0.2776596,0.5648886,0.28810433,0.63580835,0.333884,0.5533244,0.3622595,0.63751936,0.47584674,0.60128313,0.4922316,0.6537206,0.57109743,0.7133072,0.5710175,0.69961447,0.52849454,0.46187878,0.5490308,0.52969486,0.6371999,0.43745103,0.6598444,0.5368835,0.8002489,0.4924877,0.80833274,0.55533576
fall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22426534,0.7506616,0.19073395,0.90561515,0.20205033,0.69513744,0.15960765,0.9461125,0.09228785,0.8229627,0.09301708,0.87666166,0.48011884,0.80240566,0.44561195,0.915476,0.6791239,0.8058628,0.6378304,0.87542456,0.8242391,0.85739374,0.7660188,0.89395463
fall,0.35900435,0.20786805,0.36311603,0.19257407,0.35065398,0.20450635,0.3892407,0.1818203,0.0,0.0,0.4381362,0.18952881,0.3858213,0.28499028,0.47743616,0.116794705,0.3882323,0.38886905,0.51217175,0.033649683,0.354937,0.49785644,0.55197483,0.34426928,0.51539224,0.39283806,0.62498236,0.4612061,0.57821816,0.52277994,0.68831635,0.5881562,0.67496365,0.6657451
not fallen,0.49100605,0.34188837,0.50820094,0.30453044,0.48143372,0.30934832,0.5776054,0.27955028,0.0,0.0,0.70434606,0.41891447,0.4871033,0.42871726,0.8867235,0.58469266,0.3735272,0.6131295,0.88431257,0.42560437,0.34586823,0.40658233,0.6300673,0.83715814,0.4940831,0.81114936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
not fallen,0.57066786,0.27251977,0.57904005,0.2574316,0.560326,0.26067367,0.5924953,0.26868057,0.54734015,0.27637777,0.6191638,0.36150652,0.5339512,0.3728642,0.65121317,0.46832186,0.52961344,0.48483154,0.6357016,0.5587547,0.5366667,0.5734525,0.6224583,0.5776549,0.56967306,0.5845946,0.6316485,0.7321422,0.586117,0.7378534,0.63708836,0.88422036,0.6248411,0.8829325
